Algorithm,Total_Agents,Cores_Used,Migration_Interval,Run_ID,Final_Fitness,Execution_Time_Sec
Island Parallel,120,8,25,9,32.11303318861624,2.383717400000023
Island Parallel,120,8,100,0,33.25463356047703,2.5422407999994903
Island Parallel,120,8,100,1,33.93834336549543,2.3986887000000934
Island Parallel,120,8,100,2,28.89541736772091,2.4248793000006117
Island Parallel,120,8,100,3,34.59771023913552,2.344185899999502
Island Parallel,120,8,100,4,39.93777644284671,2.3321601999996346
Island Parallel,120,8,100,5,46.50368386546191,2.4753410000002987
Island Parallel,120,8,100,6,31.582373995545055,2.5595202000004065
Island Parallel,120,8,100,7,38.6587882515459,2.4929990999999063
Island Parallel,120,8,100,8,36.58943551285441,2.3850204000000303
Island Parallel,120,8,100,9,32.231386171241894,2.37614880000001
