Architecture,Total_Agents,Cores_Used,Migration_Interval,Run_ID,Final_Fitness,Execution_Time_Sec
Island Parallel,120,8,10,0,40.93555436770538,2.4446413999976357
Island Parallel,120,8,10,1,27.69778436704638,2.2505139999993844
Island Parallel,120,8,10,2,25.853663530385546,2.3561730999936117
Island Parallel,120,8,10,3,24.021262629890344,2.40203090000432
Island Parallel,120,8,10,4,32.7541131568469,2.3611126000032527
Island Parallel,120,8,10,5,28.892591110796957,2.44965169999341
Island Parallel,120,8,10,6,30.230410844045224,2.6453662999992957
Island Parallel,120,8,10,7,21.781887397063457,2.759867100001429
Island Parallel,120,8,10,8,36.48499809587574,2.6138481000089087
Island Parallel,120,8,10,9,44.279586206661605,2.557919099999708
Island Parallel,120,8,25,0,34.04965402110227,2.5342786999972304
Island Parallel,120,8,25,1,33.73137178867964,2.698988100004499
Island Parallel,120,8,25,2,29.9787812647277,2.3290903000015533
Island Parallel,120,8,25,3,22.519756987206733,2.3244634000002407
Island Parallel,120,8,25,4,37.483038700919906,2.6359775000019
Island Parallel,120,8,25,5,26.748516439064048,2.510474199996679
Island Parallel,120,8,25,6,30.349606163167266,2.7479581000079634
Island Parallel,120,8,25,7,25.906104110842648,2.1823711000033654
Island Parallel,120,8,25,8,44.793837024127015,2.399723199996515
Island Parallel,120,8,25,9,34.058497299640976,2.2929757999954745
Island Parallel,120,8,100,0,34.32431327775305,2.767582800006494
Island Parallel,120,8,100,1,23.834046006228192,2.280276800011052
Island Parallel,120,8,100,2,42.34412153179329,2.240181899993331
Island Parallel,120,8,100,3,39.89009429024739,2.294535300010466
Island Parallel,120,8,100,4,28.417586885950357,2.2165961999999126
Island Parallel,120,8,100,5,38.68474939487248,2.364552899991395
Island Parallel,120,8,100,6,29.988271349508494,2.2510167000000365
Island Parallel,120,8,100,7,41.36198250683711,2.3047927000006894
Island Parallel,120,8,100,8,32.411382244170824,2.1526784999878146
Island Parallel,120,8,100,9,46.421651790940246,2.2561442000005627
