Architecture,Total_Agents,Cores_Used,Migration_Interval,Run_ID,Final_Fitness,Execution_Time_Sec
Island Parallel,120,8,100,0,26.97019904116246,2.0267727000000377
Island Parallel,120,8,100,1,36.65661265991227,2.1150527999998303
Island Parallel,120,8,100,2,39.140770459270215,2.2247411999996984
Island Parallel,120,8,100,3,31.160278250225957,2.0070284000003085
Island Parallel,120,8,100,4,41.497403886654695,1.9884172000001854
Island Parallel,120,8,100,5,39.690961590291096,2.0802911999999196
Island Parallel,120,8,100,6,34.10334992177181,1.9684521000008317
Island Parallel,120,8,100,7,38.351641485938245,2.113342200000261
Island Parallel,120,8,100,8,42.77854780448203,2.0234737999999197
Island Parallel,120,8,100,9,31.24680608968532,1.937267399999655
